Displacement:2	Points:0
2.47E-07	7.056
2.47E-07	7.064
2.47E-07	7.072
2.48E-07	7.08
2.48E-07	7.088
2.48E-07	7.096
2.49E-07	7.104
2.49E-07	7.112
2.50E-07	7.12
2.50E-07	7.128
2.50E-07	7.136
2.51E-07	7.144
2.51E-07	7.152
2.52E-07	7.16
2.52E-07	7.168
2.52E-07	7.176
2.53E-07	7.184
2.53E-07	7.192
2.53E-07	7.2
2.54E-07	7.208
2.54E-07	7.216
2.55E-07	7.224
2.55E-07	7.232
2.55E-07	7.24
2.56E-07	7.248
2.56E-07	7.256
2.57E-07	7.264
2.57E-07	7.272
2.57E-07	7.28
2.58E-07	7.288
2.58E-07	7.296
2.59E-07	7.304
2.59E-07	7.312
2.59E-07	7.32
2.60E-07	7.328
2.60E-07	7.336
2.60E-07	7.344
2.61E-07	7.352
2.61E-07	7.36
2.62E-07	7.368
2.62E-07	7.376
2.62E-07	7.384
2.63E-07	7.392
2.63E-07	7.4
2.64E-07	7.408
2.64E-07	7.416
2.64E-07	7.424
2.65E-07	7.432
2.65E-07	7.44
2.65E-07	7.448
2.66E-07	7.456
2.66E-07	7.464
2.67E-07	7.472
2.67E-07	7.48
2.67E-07	7.488
2.68E-07	7.496
2.68E-07	7.504
2.69E-07	7.512
2.69E-07	7.52
2.69E-07	7.528
2.70E-07	7.536
2.70E-07	7.544
2.70E-07	7.552
2.71E-07	7.56
2.71E-07	7.568
2.72E-07	7.576
2.72E-07	7.584
2.72E-07	7.592
2.73E-07	7.6
2.73E-07	7.608
2.74E-07	7.616
2.74E-07	7.624
2.74E-07	7.632
2.75E-07	7.64
2.75E-07	7.648
2.75E-07	7.656
2.76E-07	7.664
2.76E-07	7.672
2.77E-07	7.68
2.77E-07	7.688
2.77E-07	7.696
2.78E-07	7.704
2.78E-07	7.712
2.79E-07	7.72
2.79E-07	7.728
2.79E-07	7.736
2.80E-07	7.744
2.80E-07	7.752
2.81E-07	7.76
2.81E-07	7.768
2.81E-07	7.776
2.82E-07	7.784
2.82E-07	7.792
2.82E-07	7.8
2.83E-07	7.808
2.83E-07	7.816
2.84E-07	7.824
2.84E-07	7.832
2.84E-07	7.84
2.85E-07	7.848
2.85E-07	7.856
2.86E-07	7.864
2.86E-07	7.872
2.86E-07	7.88
2.87E-07	7.888
2.87E-07	7.896
2.87E-07	7.904
2.88E-07	7.912
2.88E-07	7.92
2.89E-07	7.928
2.89E-07	7.936
2.89E-07	7.944
2.90E-07	7.952
2.90E-07	7.96
2.91E-07	7.968
2.91E-07	7.976
2.91E-07	7.984
2.92E-07	7.992
2.92E-07	8
